ref,t,det,nl,sd,latlong
42,Cortical pyramidal layer 6 thalamic projecting ,"Cortical C6t cells have a neuroanatomical organization highly linked to Ts projections. C6t cells send both apical dendrite and intracortical axon projections to layer 3b in the isocortex(Jones & Wise, 1977; Peters et al., 1997; Lund et al., 1981; Rockland & Ichinohe, 2004) and layer 4 in koniocortex(Briggs & Callaway, 2001). The C6t cell projections leaving the cortex target local regions of the Ts in a reciprocal manner(Giguere & Goldman-Rakic, 1988; McFarland & Haber, 2002; Catsman-Berrevoets & Kuypers, 1978; Trojanowski & Jacobson, 1977; Asanuma et al., 1985). Note the anatomical reentrant blueprint specifying that C6t intracortical axons/dendrites target the same cortical layer receiving Ts projections.",neurolex link,"Viewpoint: Neuroanatomically, C6t appears to function in conjunction with C3b and Ts to facilitate cortico-thalamocortical oscillations.","81.899914, -128.492728"
43,Basket Cells,"Basket cells form the majority of interneurons, named for the basket like shape of synapses they form around the soma of pyramidal neurons(Cajal, 2002). Basket cells are typically fast spiking, parvalbumin staining, soma targeting, and have their highest densities between middle layer 3 and upper layer 5(Zaitsev et al., 2005; Lund & Lewis, 1993). Basket cells are often further differentiated by the size and or curvature of their often long (∼100s μm) horizontal axonal arborization(Zaitsev et al., 2009; Lund et al., 1993).",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","82.068843, -135.864412"
24,Claustrum,"The claustrum is located midway between layer 6 of insular cortex (from which it breaks off early in brain development) and the striatum. Debate is ongoing on whether the claustrum’s developmental origin is cortical, striatal, or a hybrid(Edelstein & Denaro, 2004). Projections from the claustrum target nearly the entire brain, with little segregation of projections in the claustrum(Tanne-Gariepy et al., 2002). Claustrum projections travel through the external capsule and appear slightly biased to cognitive and cortical control centers of the brain(Molnar et al., 2006). The projections from the claustrum terminate mostly in layer 4 and appear to preferentially target inhibitory neurons, possibly chandelier cells with axoaxonic terminals(LeVay, 1986; LeVay & Sherk, 1981).",neurolex link,"Viewpoint: Neuroanatomically, the claustrum appears to integrate cortical information from C6m neurons and provide feedforward excitatory input to inhibitory neurons in L4 of the cerebral cortex.","79.219332, -101.578756"
25,Spinal Cord,,neurolex link,,"79.395231, -108.353223"
26,Globus pallidus internal segment/Substantia nigra pars reticulata,description for left view,neurolex link,"The Gpi/Snr is the source of the major GABAergic output from the basal ganglia. The Gpi and Snr are physically separated nuclei, with the Snr located adjacent to the Snc (hence the naming convention). However, from a neuroanatomical perspective these structures are functionally equivalent. The Gpi/Snr receives afferent input from all other basal ganglia nuclei, including the matrix striatum(M. Levesque & Parent, 2005; Haber et al., 1990), the Gpe(Sato et al., 2000), the STN(J. C. Levesque & Parent, 2005), and collateral projections from the Snc(Charara & Parent, 1994; Zhou et al., 2009).","77.537668, -130.604898"
27,Cortical pyramidal layer 5/6 cortically projecting,"Neurons in the lower layers of the cerebral cortex are the most diverse, but are differentiable based on the targets of their projections. We use the term C56 to group the cortical neurons in the infragranular layers of the isocortex that dominantly project corticocortically(Soloway et al., 2002; Lima et al., 1990; Tanigawa et al., 1998). The C56 neurons often have a spindle shape and appear to lack major dendritic tufts above layer 5a(Lima et al., 1990). The intracortical supragranular projections appear more extensive in layers 2 and 3a(Levitt et al., 1993), with distant horizontal projections in layers 5/6(Tardif et al., 2007). The C56 group are the dominant source of intercortical projections to layer 1 and 2 of ipsilateral cortices (Figure 3)(Rockland & Drash, 1996; Barbas, Hilgetag, et al., 2005; Medalla & Barbas, 2006).",neurolex link,"Viewpoint: Neuroanatomically, C56 appears to function as corticocortical feedback output system.","81.670664, -154.898681"
20,Pons,"The metencephalon primarily includes the pons, cerebellum, and deep cerebellar nuclei. The pons receives nearly all its afferent projections from the isocortex and sends nearly all its efferent output to the cerebellum(Brodal & Bjaalie, 1992). This close relationship is demonstrated by the tight correlated volumetric evolution between the pons and cerebral cortex across species. The pons accounting for 6% of the brainstem in prosimians, 11-21% in monkeys and 37% in humans(Brodal & Bjaalie, 1992). As discussed, the pons receives its cortical projection from the C5p cells from the entire cerebral cortex(Glickstein et al., 1985; Brodal, 1978; Leichnetz",neurolex link,"Viewpoint: Neuroanatomically, the pons integrates and transmits cortically evoked C5p output to the cerebellum. The cerebellum appears to be a control system for fine tuning and stabilizing sequences of movement and cognitive behaviors through the ventral thalamus.","76.897912, -108.184677"
21,Deep Cerebellar Nuclei,"The metencephalon primarily includes the pons, cerebellum, and deep cerebellar nuclei. The pons receives nearly all its afferent projections from the isocortex and sends nearly all its efferent output to the cerebellum(Brodal & Bjaalie, 1992). This close relationship is demonstrated by the tight correlated volumetric evolution between the pons and cerebral cortex across species. The pons accounting for 6% of the brainstem in prosimians, 11-21% in monkeys and 37% in humans(Brodal & Bjaalie, 1992). As discussed, the pons receives its cortical projection from the C5p cells from the entire cerebral cortex(Glickstein et al., 1985; Brodal, 1978; Leichnetz",neurolex link,"Viewpoint: Neuroanatomically, the pons integrates and transmits cortically evoked C5p output to the cerebellum. The cerebellum appears to be a control system for fine tuning and stabilizing sequences of movement and cognitive behaviors through the ventral thalamus.","76.351662, -102.822826"
22,Cerebellum,"The metencephalon primarily includes the pons, cerebellum, and deep cerebellar nuclei. The pons receives nearly all its afferent projections from the isocortex and sends nearly all its efferent output to the cerebellum(Brodal & Bjaalie, 1992). This close relationship is demonstrated by the tight correlated volumetric evolution between the pons and cerebral cortex across species. The pons accounting for 6% of the brainstem in prosimians, 11-21% in monkeys and 37% in humans(Brodal & Bjaalie, 1992). As discussed, the pons receives its cortical projection from the C5p cells from the entire cerebral cortex(Glickstein et al., 1985; Brodal, 1978; Leichnetz",neurolex link,"Viewpoint: Neuroanatomically, the pons integrates and transmits cortically evoked C5p output to the cerebellum. The cerebellum appears to be a control system for fine tuning and stabilizing sequences of movement and cognitive behaviors through the ventral thalamus.","76.681090, -93.169956"
23,Basal Forebrain,"Acetylcholine is found in primarily three populations of neurons in the brain: alpha-motor neurons, interneurons in the striatum, and the basal forebrain including the nucleus of Meynert(Satoh & Fibiger, 1985). Basal forebrain lesions ’abolish cortical plasticity associated with motor skill learning’(Conner et al., 2003). Large lesions of the basal forebrain in the rat have resulted in deep coma consistent with the disruption of behavioral output(Fuller et al., 2011). Acetylcholinesterase staining typically stains layer 1 of most cortices, therefore the BF projection appears to primarily target layer 1 of most of the cortex(Bigl et al., 1982). In monkey and human cortex, C3b and C5p neurons appear to preferentially stain for acetylcholinesterase suggesting a prominent utilization of acetylcholine(Hackett et al., 2001; Bravo & Karten, 1992; Voytko et al., 1992).",neurolex link,"Viewpoint: Neuroanatomically, the basal forebrain appears to provide cholinergic input to the cerebral cortex to learn and activate an output behavior mapping between C3b and C5p neurons.","79.085467, -95.699470"
44,Intracortical projections,"Intracortical projections are horizontal corticocortical projections traveling within the grey matter of the cerebral cortex(Kritzer & Goldman-Rakic, 1995). Although all pyramidal neurons have connections within the cerebral cortex, the prominent source of distant intracortical projections arise mainly from pyramidal neurons within layers 2 and 3, and a sub-set of neurons in layers 5 and 6. The intracortical terminations of C3a and C3b pyramidal neurons are not distributed uniformly, but form patchy or stripe-like patterns of termination which comprise areas up to 20mm2 in the monkey(Levitt et al., 1993; Pucak et al., 1996; Fujita & Fujita, 1996; Lima et al., 1990). Neurons in each layer appear to project horizontally, then the stripe-like terminations (spaced a few 100μm apart) arise out of vertical collaterals. The laminar specificity and development of these corticocortical striped projections is largely activity dependent(Price et al., 2006). In the monkey, 50% of pyramidal neuron synaptic contacts, within its local stripe (roughly its dendritic tree size), are onto GABAergic inhibitory neurons, while more than 90% of synaptic contacts outside a pyramidal neurons local stripe are onto other pyramidal neurons(Melchitzky et al., 2001). The intracortical organization is suggestive that a functional module (∼10’s mm2) in the isocortex is much larger than the traditional cortical minicolumn (∼100’s μm2)(Buxhoeveden & Casanova, 2002; Mountcastle, 2003; Rockland & Ichinohe, 2004).",,"Viewpoint: Neuroanatomically, an organization appears to exist where cell assemblies form intracortically in functional modules within select layers to encode perceptions.","84.541579, -162.285363"
45,Cerebral Cortex,,,,"84.571216, -141.129572"
28,Cortical pyramidal layer 3a cortically projecting,"C3a pyramidal neurons, of typical pyramidal shape, are distinguishable from layer 2 in isocortex because of their increased size and sparsity. In layer 3a the distance of intracortical horizontal projections increase into stripe like patches(Fujita & Fujita, 1996; Melchitzky et al., 2001; Lund et al., 1993). C3a cells often have long horizontal projections in lower layer 3b(Kritzer & Goldman-Rakic, 1995). C3a cells are the dominant source of intercortical projections to layer 4 of ipsilateral cortices (Figure 3)(Barbas, Hilgetag, et al., 2005; DeFelipe et al., 1986; Medalla & Barbas, 2006; Rockland, 1992).",neurolex link,"Viewpoint: Neuroanatomically, C3a appears to function as a corticocortical feedforward output system.","83.742072, -146.814992"
29,Cortical pyramidal layer 2 cortically projecting,"Layer 2 is referred to as the outer granular layer because of its similar granular structure as layer 4. The C2 neurons are small pyramidal neurons with local horizontal projections mostly to layer 2 and to layer 3(Barbas, Hilgetag, et al., 2005; Tanigawa et al., 1998; Soloway et al., 2002). Layer 2 is a primary target of ipsilateral feedback type cortical projections (Figure 3). The granular similarity of layer 2 to layer 4 implies a similar input architecture for feedback projections. C2 receives feedback input and propagates information horizontally and down to C3a and C3b, with upper layer 5 being the focus of infragranular projections(Kritzer & Goldman-Rakic, 1995).",neurolex link,"Viewpoint: Neuroanatomically, C2 appears to function as corticocortical feedback input system.","84.073447, -152.188791"
40,Double Bouquet Cells,"Double bouquet cells express calretinin and have vertically projecting dendrites and axons that span across layers that are direct sources of inter-layer feed-forward or feed-back projections(Lund & Lewis, 1993; Conde et al., 1994; Zaitsev et al., 2009). Bi-tufted neurons have similar dendritic and axonal organization.",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","83.713192, -111.388660"
41,Cortical layer 6 claustrum projecting,"The claustrum receives projections from virtually the entire cortex in a topographic, but largely overlapped fashion(Pearson et al., 1982). The projections from cortex originate from C6m neurons, which are distinct from C6t neurons in the cat(Katz, 1987). Apical dendrites of these neurons typically arborize directly below layer 4 in the upper part of layer 5(Soloway et al., 2002; No, 1943). Occasionally collaterals of C5s neurons are found in the claustrum(M. Parent & Parent, 2006).",neurolex link,"Viewpoint: Neuroanatomically, C6m appears to function in coordination with C5s neurons to integrate action suggestions for transmission to the claustrum.","81.111635, -101.534768"
1,Cortical Layer 1,"Layer 1 of the cerebral cortex, referred to as the molecular layer, lies closest to the pial surface of the brain. The only neurons in L1 are inhibitory Cajal-Retzius cells containing long horizontal axons(Cajal, 2002; Gabbott & Bacon, 1996; Conde et al., 1994). L1 is composed of a dense plexus of dendritic tufts of pyramidal neurons combined with axons from cortical and subcortical origin. Many non-glutamate neurotransmitters systems (serotoninergic, adrenergic, cholinergic) appear to target the lower portions of layer 1(Eickhoff et al., 2007). The dense plexus of dendrites in L1 provides the opportunity for a given axon terminating in L1 to effect pyramidal neurons throughout all layers. The cortical pyramidal neurons consistently demonstrating prominent L1 apical dendritic tufts are C2, C3a, C3b, C5s, and C5p.",<a target='_blank' href=''>Neurolex entry</a>,"Viewpoint: Neuroanatomically, cortical layer 1 appears to be a plexus of dendrites and axons where a single axon projection can easily influence or activate multiple pyramidal neurons in different cortical layers to control a functional module.","84.351458, -179.080927"
0,Intercortical Connections,"Intercortical circuits involve the large white matter corticocortical fiber tracts of the brain (Schmahmann & Pandya, 2006). Fiber tracts connect multiple distant cortical areas and subcortical nuclei with a great deal of specificity. The topology of corticocortical projections are the primary focus of the Human Connectome Project and CoCoMac(Marcus et al., 2011; Kotter, 2004). Contralateral corticocortical projections tend to connect the same spatial regions on opposite sides of the brain, while ipsilateral connections often connect distant areas on the same side(Barbas, Hilgetag, et al., 2005). Different populations of pyramidal neurons tend to project contralaterally (lower layer 3b) as opposed to ipsilaterally (upper layer 3a and layers 5/6)(Soloway et al., 2002).",,"Viewpoint: Neuroanatomically, cell assembly to cell assembly associations form intercortically in a hierarchical layer dependent feedforward/feedback network.","84.873525, -171.165633"
3,Martinotti Cells in Layer 6,"Martinotti cells express calbindin and are unique in that they send a vertically projecting axon that arborizes horizontally in layer 1(Conde et al., 1994; Zaitsev et al., 2009).",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","81.172258, -159.384304"
2,Cortical pyramidal layer 4 cortically projecting,"Layer 4 is referred to as the inner granular layer, not for any particular cell type, but due to the visual appearance of small neurons stained in Nissl preparations. Layer 4, of all cortices, appears to be an input for feedforward type projections. In isocortex, layer 4 is the primary target of ipsilateral corticocortical feedforward cortical projections(Figure 3)(Barbas, Hilgetag, et al., 2005; DeFelipe et al., 1986; Medalla & Barbas, 2006; Rockland, 1992; Felleman & Van Essen, 1991). Since primary sensory koniocortex is the anatomically closest cortex to raw sensory input, other cortical areas can not provide feedforward input. Instead, in koniocortices, the specific thalamus provides the feedforward projection into layer 4. In primary motor cortex layer 4 is essentially non-existent, highlighting the diminished need for feedforward input to cortical areas involved in output behavior. The cortical pyramidal neurons in layer 4, C4, typically have a descending and an ascending axon that arborize locally (<1mm)(Kritzer & Goldman-Rakic, 1995). The ascending axon reaches all supragranular layers upwards of layer 2. Descending axons do not prominently exit the cortex as with most other pyramidal cells. Only in primary sensory areas, and especially in primary visual cortex, does layer 4 contain spiny stellate cells(Meyer et al., 1989). In all other parts of cortex, spiny stellate cells are nonexistent or very rare, and instead small pyramidal cells along with interneurons compose the majority of cells in L4. Quoting Lund ’There are no spiny stellate neurons in V2 in contrast to area V1 where they are the main neuron types of lamina 4’(Lund et al., 1981).",neurolex link,"Viewpoint: Neuroanatomically, C4 appears to function as a corticocortical feedforward input system.","82.866783, -160.205367"
5,Parahippocampal gyrus/periallocortex Layers 2/3,"PH23 is used to describe the upper layers in the periallocortex that receive afferent projections from the isocortex (typically C3b)(Witter et al., 1989). Input to PH23 is topographically organized and dominated by multimodal association isocortex(Burwell, 2000). PH23 sends efferent projections to the hippocampus.",neurolex link,"Viewpoint: Neuroanatomically, the periallocortex appears to facilitate medium-term storage of associations, temporally acting between short-term and long-term memory, capable of mapping source C3b representations to target C3b representations in the isocortex.","79.057602, -171.979943"
4,Corpus Callosum,description for left view,neurolex link,description for window,"80.253468, -171.901920"
7,Hippocampus / allocortex,"The hippocampus proper, called allocortex due to its lack of lamination and different appearance from isocortex, is a full circuit in and of itself(Amaral & Witter, 1989). The hippocampus is functionally dominated by the dentate gyrus (DG), CA3 fields, CA1 fields, and subiculum (Sb). A simplified feedforward picture shows the projection circuit loop as: isocortex  ->  PH23  ->  Dentate Gyrus  ->  CA3  ->  CA1  ->  Subiculum  ->  PH56  ->  isocortex. Multiple feedback connections exist within this path(Amaral & Witter, 1989). The DG and olfactory bulb/subventricular zone are the only widely accepted brain structures consistently shown to contain adult neurogenesis (the new production of neurons) in the non-damaged primate brain(Gould, 2007). The hippocampus essentially receives all the same subcortical input as parahippocampal cortex described above(Amaral & Cowan, 1980).",neurolex link,"Viewpoint: Neuroanatomically, the hippocampus appears to associate perceptions in the isocortex through mapped representations in periallocortex based upon emotional context.","77.293005, -165.139133"
6,Parahippocampal gyrus/periallocortex Layers 5/6,"PH56 is used to describe the lower layers in the periallocortex that send efferent projections to the isocortex with origin/target laminar distributions similar to intercortical association projections (Figure 3)(Witter et al., 1989). PH56 generally projects back topographically in a reciprocal manner to multimodal association isocortex(Lavenex et al., 2002). PH56 receives afferent projections from the hippocampus.",neurolex link,"Viewpoint: Neuroanatomically, the periallocortex appears to facilitate medium-term storage of associations, temporally acting between short-term and long-term memory, capable of mapping source C3b representations to target C3b representations in the isocortex.","78.434306, -170.239049"
