ref,t,det,nl,sd,latlong
9,Specific thalamus,"Specific thalamic neurons project to the mid layers in the cerebral cortex. Ts thalamocortical projections are to lower layer 3b in primate isocortex, often avoiding layer 4(Jones, 2007; Romanski et al., 1997; Jones & Burton, 1976; Trojanowski & Jacobson, 1976; Rockland et al., 1999; McFarland & Haber, 2002; Giguere & Goldman-Rakic, 1988), while only koniocortical projections are to layer 4(Callaway, 1998). The Ts thalamocortical projection is localized (< a few mm2) and topologically organized in the cerebral cortex in accordance with the temporal development of projections(W. Brysch et al., 1990; Hohl-Abrahao & Creutzfeldt, 1991; Vogt et al., 1987; Goldman-Rakic & Porrino, 1985; Baleydier & Mauguiere, 1987; Kievit & Kuypers, 1977).",neurolex link,"Viewpoint: Neuroanatomically, the specific thalamus appears to drive the convergent reentrant selection of C3b and C6t perceptual representations in cortico-thalamocortical oscillations.","77.855119, -150.443255"
8,Specific thalamus,"Specific thalamic neurons project to the mid layers in the cerebral cortex. Ts thalamocortical projections are to lower layer 3b in primate isocortex, often avoiding layer 4(Jones, 2007; Romanski et al., 1997; Jones & Burton, 1976; Trojanowski & Jacobson, 1976; Rockland et al., 1999; McFarland & Haber, 2002; Giguere & Goldman-Rakic, 1988), while only koniocortical projections are to layer 4(Callaway, 1998). The Ts thalamocortical projection is localized (< a few mm2) and topologically organized in the cerebral cortex in accordance with the temporal development of projections(W. Brysch et al., 1990; Hohl-Abrahao & Creutzfeldt, 1991; Vogt et al., 1987; Goldman-Rakic & Porrino, 1985; Baleydier & Mauguiere, 1987; Kievit & Kuypers, 1977).",neurolex link,"Viewpoint: Neuroanatomically, the specific thalamus appears to drive the convergent reentrant selection of C3b and C6t perceptual representations in cortico-thalamocortical oscillations.","77.833648, -155.615697"
39,Basket Cells,"Basket cells form the majority of interneurons, named for the basket like shape of synapses they form around the soma of pyramidal neurons(Cajal, 2002). Basket cells are typically fast spiking, parvalbumin staining, soma targeting, and have their highest densities between middle layer 3 and upper layer 5(Zaitsev et al., 2005; Lund & Lewis, 1993). Basket cells are often further differentiated by the size and or curvature of their often long (∼100s μm) horizontal axonal arborization(Zaitsev et al., 2009; Lund et al., 1993).",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","83.450119, -99.855944"
38,Cortical pyramidal layer 3b cortically projecting,"Lower layer 3b in the isocortex is centrally located to be the hub of perceptual information processing in the cerebral cortex. The large pyramidal neurons located in the lower part of layer 3, just above the granular layer 4 could be included in multiple circuits including long-term memory, working memory/information processing, and behavior output. The C3b cells have the classic pyramidal neuron shape and are usually the second largest pyramidal neuron group next to C5p(Jones & Wise, 1977; Barbas, Hilgetag, et al., 2005; Rempel-Clower & Barbas, 2000). The C3b intracortical projections involve some of the longest (many millimeters) grey matter projections in the cerebral cortex(Kritzer & Goldman-Rakic, 1995; DeFelipe, 1997; Fujita & Fujita, 1996). The horizontal projections form stripe-like vertical patches and have all the same qualities described in the C3a group.",neurolex link,"Viewpoint: Neuroanatomically, C3b appears to function as stable invariant perceptual representations in the cerebral cortex that are associated in short-term memory.","83.263915, -105.230312"
11,Thalamic reticular nucleus,"The TRN is a thin shell of GABAergic neurons surrounding the entire thalamus(Scheibel & Scheibel, 1966). The majority of TRN afferent connections arise from ascending Ts and descending C6t projections(Jones, 1975). Different sizes of axonal boutons (small and large) in the TRN have been correlated with source cortical topology and layer (L6 and L5) respectively(Zikopoulos & Barbas, 2006). The TRN then projects directly onto the Ts in an inhibitory manner(Velayos et al., 1989; Scheibel & Scheibel, 1966). Other projections to the TRN include cholinergic projections from the brainstem as shown in the cat(Pare et al., 1988) and GABAergic projections from the basal ganglia GPe in the monkey targeting the ventral thalamic region(Asanuma, 1994).",neurolex link,"Viewpoint: Neuroanatomically, the TRN appears to function in gating thalamocortical information to regulate cognitive states.","79.125636, -145.842928"
10,Thalamic reticular nucleus,"The TRN is a thin shell of GABAergic neurons surrounding the entire thalamus(Scheibel & Scheibel, 1966). The majority of TRN afferent connections arise from ascending Ts and descending C6t projections(Jones, 1975). Different sizes of axonal boutons (small and large) in the TRN have been correlated with source cortical topology and layer (L6 and L5) respectively(Zikopoulos & Barbas, 2006). The TRN then projects directly onto the Ts in an inhibitory manner(Velayos et al., 1989; Scheibel & Scheibel, 1966). Other projections to the TRN include cholinergic projections from the brainstem as shown in the cat(Pare et al., 1988) and GABAergic projections from the basal ganglia GPe in the monkey targeting the ventral thalamic region(Asanuma, 1994).",neurolex link,"Viewpoint: Neuroanatomically, the TRN appears to function in gating thalamocortical information to regulate cognitive states.","79.057605, -154.696101"
13,Intralaminar thalamus,"The intralaminar thalamus is composed of the centre median (CM), parafasicular (PF), and midline nuclei(Jones, 2007). The midline nuclei are usually further subdivided into the central medial, paracentral, central lateral, and rhomboid nuclei. The intralaminar nuclei output topographic projections to both the striatum and to the lower layers of the isocortex(I. Brysch et al., 1984; Tande et al., 2006; Sadikot, Parent, & Francois, 1992; Sadikot, Parent, Smith, & Bolam, 1992). In a gross topographic organization, PF is associated with frontal cortex and the caudate, CM with motor cortex and the putamen, and midline with cingular cortex and the nucleus accumbens. Ti projects dominantly to lower layers 5/6 in the cerebral cortex(Herkenham, 1980). The most compelling evidence confirming this fact in primates comes from single-axon tracing studies in the monkey that undeniably demonstrate the majority of intralaminar (CM/PF) projections principally terminate in layers 5/6(M. Parent & Parent, 2005), with fewer collateral projections to layer 1. The Ti nuclei projections are largely segregated into those that project exclusively to the cerebral cortex and those that project to the matrix portion of the striatum(M. Parent & Parent, 2005).",neurolex link,"Viewpoint: Neuroanatomically, the intralaminar thalamus appears to excite the behavioral output of the lower layers of the cerebral cortex to accurately select C5p output and drive cortical behaviors.","77.946446, -139.274393"
12,Thalamocortical layer 1 projections,"Herkenham first described a localized region of the thalamus in the mouse, VM, that projected diffusely to layer 1 of nearly the entire cerebral cortex(Herkenham, 1980, 1979). The projection has a decreasing density gradient from frontal cortex (cognitive) to parietal cortex (sensory). Other studies in the rat definitively confirm the VM  ->  L1 projection(Mitchell & Cauller, 2001; Arbuthnott et al., 1990). The ventral thalamus in the monkey has significant projections to layer 1(Nakano et al., 1992; McFarland & Haber, 2002). However, a localized thalamic L1 projection nuclei has not been directly looked for in primates and we use the nuclei VAmc/VM to estimate the localized thalamic TL1 projection source occurring near the mammothalamic tract that presumably exists in the primate (human). The VAmc/VM nuclei receive projections from the Gpi/Snr and the cerebellum(Sidibe et al., 1997; Francois et al., 2002; M. Parent et al., 2001) and send projections back to the striatum(McFarland & Haber, 2001). As part of the reticular activating system the ventral (and other thalamic nuclei) receive afferent cholinergic projections from the brainstem(Steriade et al., 1988). We include in the TL1 definition the more sparsely distributed layer 1 projecting thalamic matrix described by Jones(Jones, 1998).",neurolex link,"Viewpoint: Neuroanatomically, the layer 1 thalamic projection appears to provide short latency cortical stimulation across widespread areas to activate and control cortical information processing.","77.733410, -145.279812"
15,Substantia nigra pars compacta,"The Snc is the source of dopaminergic projections in the basal ganglia. The Snc receives its major afferent input from the patch compartments in the striatum(Fujiyama et al., 2011; Gerfen, 1984). The Snc is tonically active and receives additional inhibitory input from virtually all other structures in the basal ganglia(Lee & Tepper, 2009). The Snc projects onto the matrix compartment of the striatum(Matsuda et al., 2009; Langer & Graybiel, 1989; Gerfen & Surmeier, 2010).",neurolex link,"Viewpoint: Neuroanatomically, the Snc appears to provide a differential dopamine reward signal to the striatum to learn start and stop action sequences.","76.728796, -125.833461"
14,Subthalamic Nucleus,"The STN is the only excitatory nucleus in the basal ganglia and utilizes glutamate as a neurotransmitter. The STN appears to receive an excitatory topographically mapped isocortical afferent input from C5p neurons(M. Parent & Parent, 2006; Nambu et al., 2000) as well as inhibitory input from the Gpe(Sato et al., 2000). The STN projects prominently onto the Gpi/Snr and to the Gpe(A. Parent et al., 1989; Nambu et al., 2000). The STN has inhibitory GABAergic interneurons(J. C. Levesque & Parent, 2005).",neurolex link,"Viewpoint: Neuroanatomically, the STN appears to provide a direct cortical mechanism to stop action triggering in the intralaminar thalamus through exciting the Gpi/Snr. A contrary hypothesis might suggest that the STN prepares desired output actions in Ti through increased inhibitory stimulation by the Gpi/Snr biasing future inhibitory rebound spikes.","78.274136, -132.479952"
17,Striatum patch D2 receptors,"SmD2 neurons are GABAergic spiny projection neurons found within the matrix portion of the striatum that express dopamine D2 receptors. The effect of dopamine on SmD2 neurons decreases excitability(Surmeier et al., 2007). SmD2 is traditionally considered part of the indirect pathway through the basal ganglia because of its projections to the Gpe(Haber et al., 1990; M. Levesque & Parent, 2005).",neurolex link,"Viewpoint: Neuroanatomically, SmD1 appears as a C5s cortically evoked start action mapping through the disinhibitory direct pathway SmD1 -> Gpi/Snr learned from positive dopamine reinforcement. SmD2 appears as a C5s cortically evoked stop action mapping through the dual disinhibitory-disinhibitory indirect pathway SmD2 -> Gpe -> Gpi/Snr or the feedback pathway SmD2 -> Gpe -> SmD1 learned from negative dopamine reinforcement. Sp appears as a C5p cortically evoked dopamine based learning signal via the Sp -> Snc pathway in order to reinforce the two Sm pathways.","79.173068, -122.670618"
16,Globus pallidus external segment,"The Gpe neurons are GABAergic neurons that primarily receive inhibitory projections from the SmD2 portion of the striatum(Haber et al., 1990; M. Levesque & Parent, 2005) and excitatory projections from the STN(Nambu et al., 2000; A. Parent et al., 1989). Gpe neurons project onto the Gpi/Snr, Stn, and send feedback connections onto the matrix portion of the striatum(Sato et al., 2000).",neurolex link,"Viewpoint: Neuroanatomically, SmD1 appears as a C5s cortically evoked start action mapping through the disinhibitory direct pathway SmD1 -> Gpi/Snr learned from positive dopamine reinforcement. SmD2 appears as a C5s cortically evoked stop action mapping through the dual disinhibitory-disinhibitory indirect pathway SmD2 -> Gpe -> Gpi/Snr or the feedback pathway SmD2 -> Gpe -> SmD1 learned from negative dopamine reinforcement. Sp appears as a C5p cortically evoked dopamine based learning signal via the Sp -> Snc pathway in order to reinforce the two Sm pathways.","77.919576, -124.803048"
19,Striatum patch,"Sp neurons are GABAergic spiny projection neurons found in the patches of the striatum and project prominently to the Snc(Fujiyama et al., 2011; Haber et al., 1990). The Sp do send smaller number of axon collaterals into the Gpe and Gpi/Snr(M. Levesque & Parent, 2005). In contrast to the matrix, the patch compartments receive their input from C5p neurons in the isocortex(Gerfen, 1989, 1984).",neurolex link,"Viewpoint: Neuroanatomically, SmD1 appears as a C5s cortically evoked start action mapping through the disinhibitory direct pathway SmD1 -> Gpi/Snr learned from positive dopamine reinforcement. SmD2 appears as a C5s cortically evoked stop action mapping through the dual disinhibitory-disinhibitory indirect pathway SmD2 -> Gpe -> Gpi/Snr or the feedback pathway SmD2 -> Gpe -> SmD1 learned from negative dopamine reinforcement. Sp appears as a C5p cortically evoked dopamine based learning signal via the Sp -> Snc pathway in order to reinforce the two Sm pathways.","77.081902, -116.316745"
18,Striatum patch D1 receptors,description for left view,neurolex link,"Viewpoint: Neuroanatomically, SmD1 appears as a C5s cortically evoked start action mapping through the disinhibitory direct pathway SmD1 -> Gpi/Snr learned from positive dopamine reinforcement. SmD2 appears as a C5s cortically evoked stop action mapping through the dual disinhibitory-disinhibitory indirect pathway SmD2 -> Gpe -> Gpi/Snr or the feedback pathway SmD2 -> Gpe -> SmD1 learned from negative dopamine reinforcement. Sp appears as a C5p cortically evoked dopamine based learning signal via the Sp -> Snc pathway in order to reinforce the two Sm pathways.","77.772695, -116.316745"
31,Martinotti Cells in Layer 1,"Martinotti cells express calbindin and are unique in that they send a vertically projecting axon that arborizes horizontally in layer 1(Conde et al., 1994; Zaitsev et al., 2009).",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","84.249147, -134.850991"
30,Cortical pyramidal layer 3b cortically projecting,"Lower layer 3b in the isocortex is centrally located to be the hub of perceptual information processing in the cerebral cortex. The large pyramidal neurons located in the lower part of layer 3, just above the granular layer 4 could be included in multiple circuits including long-term memory, working memory/information processing, and behavior output. The C3b cells have the classic pyramidal neuron shape and are usually the second largest pyramidal neuron group next to C5p(Jones & Wise, 1977; Barbas, Hilgetag, et al., 2005; Rempel-Clower & Barbas, 2000). The C3b intracortical projections involve some of the longest (many millimeters) grey matter projections in the cerebral cortex(Kritzer & Goldman-Rakic, 1995; DeFelipe, 1997; Fujita & Fujita, 1996). The horizontal projections form stripe-like vertical patches and have all the same qualities described in the C3a group.",neurolex link,"Viewpoint: Neuroanatomically, C3b appears to function as stable invariant perceptual representations in the cerebral cortex that are associated in short-term memory.","83.243657, -140.782292"
37,Chandelier Cells,"Chandelier cells are a class of axoaxonic parvalbumin inhibitory neurons which provide exclusive terminations on the initial axon segment of pyramidal neurons found mostly between layers 3 and 5(Conde et al., 1994; Defelipe et al., 1999; Lund & Lewis, 1993). Named for the vertical chandelier look alike synaptic boutons.",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","82.755602, -101.978135"
36,Cortical pyramidal layer 5 pons projecting,"The C5p population refers to the collection of primarily pons (and other subcortically) projecting pyramidal cells found throughout the entire isocortex(Hackett et al., 2001; Watakabe et al., 2006). C5p neurons are located in layer 5b(Foster et al., 1981), have large dendritic tufts in layer 1, and are distinct from C5s neurons(Molnar & Cheung, 2006; Morishima & Kawaguchi, 2006). The C5p intracortical projections are not extensive, often restricted to short distances in layer 5(Ghosh & Porter, 1988), however their dendritic arborization is quite large. Generally, the largest neurons in the isocortex are C5p neurons and in primary motor cortex, C5p neurons are referred as large Betz cells(Braak & Braak, 1976). Since the majority of C5p neurons target the pons (relaying information to the cerebellum), we suggest that the cognitive function of C5p neurons may be inferred through analogy with Betz cells in primary motor cortex. The projections from C5p neurons in primary motor cortex synapse directly with the spinal chord causing physical movement(Stanfield, 1992). The direct projection to the spinal chord is weak in lower mammals, but becomes increasingly prominent in primates, and presumably dominates in humans, suggesting an increasingly more direct cortical involvement in behavior(Lemon & Griffiths, 2005). C5p projections from frontal cortex target the STN of the basal ganglia with collaterals to the striatum(Nambu et al., 2000; M. Parent & Parent, 2006). Evidence suggests that C5p striatal projections target the Sp patch (striosome) portion of the striatum that projects to the dopamine filled Snc(Gerfen, 1989, 1984).",neurolex link,"Viewpoint: Neuroanatomically, C5p neurons appear to form the physical and cognitive behavioral output of the cerebral cortex.","82.218650, -107.907007"
35,Cortical pyramidal layer 5 striatally projecting,"C5s are pyramidal neurons in the isocortex that principally project to the striatum. C5s pyramidal neurons are typically located in the upper portion of layer 5, L5a, with a prominent ascending dendrite that arborizes in L1(Jones et al., 1977; Yeterian & Pandya, 1994; Arikuni & Kubota, 1986). C5s send projections to the matrix portion of the striatum(Gerfen, 1989; Jones & Wise, 1977; M. Parent & Parent, 2006). C5s neurons are likely the source of cortical projections to Ti that are distinct from C6t projections in the monkey(Catsman-Berrevoets & Kuypers, 1978) and cat(Kakei et al., 2001). C6t thalamic terminations are small and dense, while C5s synaptic terminals are large and sparse(Rouiller & Durif, 2004). The large terminals found in the TRN are likely a result of C5s collaterals(Zikopoulos & Barbas, 2006). In the rat, C5s and C5p neurons have been shown to be distinct populations(M. Levesque et al., 1996; Molnar & Cheung, 2006), with C5s having a higher probability of recurrent C5s -> C5s connections(Morishima & Kawaguchi, 2006). L5a intracortical projections have distant ∼1-2mm projections in layers 2/3a, and slightly longer projections within the same layer 5a(Kritzer & Goldman-Rakic, 1995; Levitt et al., 1993).",neurolex link,"Viewpoint: Neuroanatomically, C5s appears to encode suggested action sequences within a cortical module for selection in the basal ganglia.","82.790063, -118.983971"
34,Chandelier Cells,"Chandelier cells are a class of axoaxonic parvalbumin inhibitory neurons which provide exclusive terminations on the initial axon segment of pyramidal neurons found mostly between layers 3 and 5(Conde et al., 1994; Defelipe et al., 1999; Lund & Lewis, 1993). Named for the vertical chandelier look alike synaptic boutons.",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","83.763719, -125.092398"
33,Cajal-Retzious Cells,"Cajal-Retzious cells are horizontally projecting interneurons found exclusively in layer 1 of the cerebral cortex and are the only cells found in layer 1(Cajal, 2002; Conde et al., 1994; Gabbott & Bacon, 1996).",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","84.400963, -127.209797"
32,Neurogliaform Cells,"Neurogliaform cells are small, express calbindin, and are found throughout all layers, but biased toward superficial layers with a tight dense plexus of axons(Gabbott & Bacon, 1996; Zaitsev et al., 2005; Lund & Lewis, 1993).",neurolex link,"Viewpoint: Neuroanatomically, interneurons appear to synchronize information processing and facilitate excitatory competition through localized vertical and horizontal inhibitory projections enabling cortical information processing.","83.935023, -129.432282"
